host,time,readable_time,Abs-Humidity-ACT,Abs-Humidity-MAX,Abs-Humidity-MIN,Abs-Humidity-SET,Fan-Circ-ACT,Fan-Circ-MAX,Fan-Circ-MIN,Fan-Circ-SET,Fan-Exhaust-ACT,Fan-Exhaust-MAX,Fan-Exhaust-MIN,Fan-Exhaust-SET,Pressure-ACT,Pressure-MAX,Pressure-MIN,Pressure-SET,Rel-Humidity-ACT,Rel-Humidity-MAX,Rel-Humidity-MIN,Rel-Humidity-SET,STATUS,Temperature-ACT,Temperature-MAX,Temperature-MIN,Temperature-SET
,1584430290000,2020-03-17T15:31:30Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.120001,85,-45,25
,1584430295000,2020-03-17T15:31:35Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.129999,85,-45,25
,1584430311000,2020-03-17T15:31:51Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.15,85,-45,25
,1584430316000,2020-03-17T15:31:56Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.16,85,-45,25
,1584430326000,2020-03-17T15:32:06Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.15,85,-45,25
,1584430331000,2020-03-17T15:32:11Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.15,85,-45,25
,1584430336000,2020-03-17T15:32:16Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.16,85,-45,25
,1584430341000,2020-03-17T15:32:21Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.15,85,-45,25
,1584430346000,2020-03-17T15:32:26Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.16,85,-45,25
,1584430352000,2020-03-17T15:32:32Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.17,85,-45,25
,1584430362000,2020-03-17T15:32:42Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.18,85,-45,25
,1584430367000,2020-03-17T15:32:47Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.18,85,-45,25
,1584430372000,2020-03-17T15:32:52Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.18,85,-45,25
,1584430377000,2020-03-17T15:32:57Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.18,85,-45,25
,1584430382000,2020-03-17T15:33:02Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.200001,85,-45,25
,1584430393000,2020-03-17T15:33:13Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.209999,85,-45,25
,1584430398000,2020-03-17T15:33:18Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.200001,85,-45,25
,1584430403000,2020-03-17T15:33:23Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.18,85,-45,25
